Date & time,Operational demand (original),Operational demand (adjusted),Hydropower,Biomass,Solar photovoltaics,Wind,StormPower,PHES-power,Energy deficit,Energy spillage,PHES-Charge,PHES-Storage,StormPowerLoss,StormDeficit,StormStorage,StormPHES-power,StormPHES-Charge,StormSpillage,FNQ-QLD,NSW-QLD,NSW-SA,NSW-VIC,NT-SA,SA-WA,TAS-VIC
Fri -25 May 2029 00:30,10506.0,10506.0,2419.0,129.0,0.0,10158.0,9993.0,0.0,0.0,0.0,-2200.0,480618.0,165.0,0.0,480618.0,0.0,-2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 01:00,10255.0,10255.0,2419.0,129.0,0.0,10158.0,9993.0,0.0,0.0,0.0,-2451.0,481599.0,165.0,0.0,481599.0,0.0,-2451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 01:30,10041.0,10041.0,2419.0,129.0,0.0,10790.0,10636.0,0.0,0.0,0.0,-3297.0,482918.0,154.0,0.0,482918.0,0.0,-3297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 02:00,9701.0,9701.0,2419.0,129.0,0.0,10790.0,10636.0,0.0,0.0,0.0,-3637.0,484372.0,154.0,0.0,484372.0,0.0,-3637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 02:30,9420.0,9420.0,2419.0,129.0,0.0,11145.0,10985.0,0.0,0.0,0.0,-4274.0,486082.0,161.0,0.0,486082.0,0.0,-4274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 03:00,9299.0,9299.0,2419.0,129.0,0.0,11145.0,10985.0,0.0,0.0,0.0,-4394.0,487840.0,161.0,0.0,487840.0,0.0,-4394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 03:30,9244.0,9244.0,2419.0,129.0,0.0,11641.0,11474.0,0.0,0.0,0.0,-4945.0,489817.0,167.0,0.0,489817.0,0.0,-4945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 04:00,9450.0,9450.0,2419.0,129.0,0.0,11641.0,11474.0,0.0,0.0,0.0,-4739.0,491713.0,167.0,0.0,491713.0,0.0,-4739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 04:30,10012.0,10012.0,2419.0,129.0,0.0,11631.0,11463.0,0.0,0.0,0.0,-4167.0,493380.0,168.0,0.0,493380.0,0.0,-4167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 05:00,10820.0,10820.0,2419.0,129.0,0.0,11631.0,11463.0,0.0,0.0,0.0,-3360.0,494724.0,168.0,0.0,494724.0,0.0,-3360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 05:30,11527.0,11527.0,2419.0,129.0,0.0,12125.0,11956.0,0.0,0.0,0.0,-3145.0,495982.0,169.0,0.0,495982.0,0.0,-3145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 06:00,12919.0,12919.0,2419.0,129.0,0.0,12125.0,11956.0,0.0,0.0,0.0,-1754.0,496684.0,169.0,0.0,496684.0,0.0,-1754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 06:30,14610.0,14610.0,2419.0,129.0,2621.0,12339.0,12172.0,0.0,0.0,0.0,-2898.0,497843.0,167.0,0.0,497843.0,0.0,-2898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 07:00,15698.0,15698.0,2419.0,129.0,2621.0,12339.0,12172.0,0.0,0.0,0.0,-1811.0,498567.0,167.0,0.0,498567.0,0.0,-1811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 07:30,17180.0,17180.0,2419.0,129.0,8330.0,12042.0,11876.0,0.0,0.0,0.0,-5741.0,500863.0,166.0,0.0,500863.0,0.0,-5741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 08:00,17688.0,17688.0,2419.0,129.0,8330.0,12042.0,11876.0,0.0,0.0,0.0,-5233.0,502957.0,166.0,0.0,502957.0,0.0,-5233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 08:30,17434.0,17434.0,2419.0,129.0,18207.0,10877.0,10709.0,0.0,0.0,0.0,-14198.0,508636.0,167.0,0.0,508636.0,0.0,-14198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 09:00,15528.0,15528.0,2419.0,129.0,18207.0,10877.0,10709.0,0.0,0.0,0.0,-16104.0,515077.0,167.0,0.0,515077.0,0.0,-16104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 09:30,14355.0,14355.0,2419.0,129.0,14188.0,9644.0,9476.0,0.0,0.0,0.0,-12025.0,519888.0,168.0,0.0,519888.0,0.0,-12025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 10:00,13770.0,13770.0,2419.0,129.0,14188.0,9644.0,9476.0,0.0,0.0,0.0,-12610.0,524932.0,168.0,0.0,524932.0,0.0,-12610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 10:30,13146.0,13146.0,2419.0,129.0,12594.0,9277.0,9109.0,0.0,0.0,0.0,-11273.0,529441.0,168.0,0.0,529441.0,0.0,-11273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
